symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
SONIC,SONIC INTERFREIGHT PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,25.07,0.0,69.54,14.04,-9.44,3.97,0.281,15.8,9.32,1.51,1272460075.92
SORKON,S. KHONKAEN FOODS PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,NO,YES,YES,NO,NO,YES,31.5,0.0,100.0,5.01,-2.14,7.1,0.1,7.47,14.45,3.52,1138368000.0
SPA,SIAM WELLNESS GROUP PUBLIC COMPANY LIMITED,Tourism & Leisure,default,scanned,NO,N/A,NO,NO,YES,YES,NO,NO,16.83,0.0,56.09,0.0,,3.21,,29.95,15.39,3.12,4001397266.88
SPACK,S. PACK & PRINT PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,YES,YES,NO,NO,YES,13.68,0.0,43.36,2.24,-3.69,2.48,0.045,4.23,10.08,1.13,339000000.0
SPALI,SUPALAI PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,YES,NO,NO,NO,NO,YES,30.0,0.0,100.0,0.0,-21.1,8.12,,10.6,6.24,15.4,30077032062.0
SPC,SAHA PATHANAPIBUL PUBLIC COMPANY LIMITED,Commerce,retail,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,51.15,60.76,73.24,16.23,15.8,4.32,0.325,8.57,6.9,55.5,18315000000.0
SPCG,SPCG PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-45.37,24.41,,5.21,4.23,8.85,9343741500.0
SPG,THE SIAM PAN GROUP PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,YES,YES,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-18.75,7.27,,5.6,11.12,11.0,3795000000.0
SPI,SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED,Commerce,retail,scanned,NO,N/A,YES,YES,NO,NO,NO,NO,35.3,0.0,17.68,100.0,-2.52,1.01,2.543,7.18,18.6,33.0,28310531436.0
SPRC,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,YES,NA,NO,NO,YES,36.38,0.0,94.75,26.53,-30.56,6.47,0.531,3.11,7.94,6.95,30134519768.75
SPREME,Supreme Distribution Public Company Limited,Information & Communication Technology,default,scanned,NO,N/A,YES,NA,NA,NA,NA,YES,30.0,0.0,100.0,0.0,,7.74,,,7.12,1.55,1147000000.0
SPVI,S P V I PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,YES,YES,NO,YES,23.13,0.0,73.15,3.95,-7.05,4.32,0.079,14.33,8.68,3.36,1344000000.0
